"BranchID","BranchName","DeptID","DeptName","CategoryID","CategoryName","Qty","NetSales","Cost","GM$","GM%","TranDate_DDMMYYYY"
561,Maxval-u Supermart - Naulu,"61",Supermarket (Non-Food),"6110",Pooja Requirements,"15.0000","55.4037","49.6000","5.8037","10.4700","05/01/2022"
513,Maxval-u Nausori,"29",School & Office,"2915",School Stationery,"5.0000","2.9817","2.3000","0.6817","22.8600","06/01/2022"
537,Maxval-u Supermart - Rakiraki,"61",Supermarket (Non-Food),"6106",Lighters,"185.0000","45.1834","30.1570","15.0264","33.2500","06/01/2022"
581,Maxval-u Supermart - Valelevu,"68",Delicatessen,"6802",Luncheon,"2.0000","7.3394","6.2020","1.1374","15.4900","02/01/2022"
537,Maxval-u Supermart - Rakiraki,"62",Dairy,"6205",Local & Imported Cultured Products,"7.0000","14.4496","12.9130","1.5366","10.6300","04/01/2022"
531,Maxval-u Supermart - Ba,"29",School & Office,"2915",School Stationery,"1.0000","0.5963","0.4590","0.1373","23.0200","05/01/2022"
551,MH  Superfresh,"62",Dairy,"6205",Local & Imported Cultured Products,"281.0000","808.4679","724.3030","84.1649","10.4100","05/01/2022"
581,Maxval-u Supermart - Valelevu,"58",Food,"5843",Baby Milk,"5.0000","90.4679","84.5590","5.9089","6.5300","01/01/2022"
531,Maxval-u Supermart - Ba,"86",Lubes,"8600",Lubes,"1.0000","45.8257","34.4300","11.3957","24.8600","02/01/2022"
543,Maxval-u Supermart - Somosomo,"60",Beverages,"6008",Energy Drink,"1.0000","4.8165","3.6480","1.1685","24.2600","02/01/2022"
524,Maxval-u Supermart - Namaka,"58",Food,"5843",Baby Milk,"2.0000","33.2110","31.0420","2.1690","6.5300","02/01/2022"
530,Maxval-u Nadi Lodhia,"58",Food,"5815",Mayonnaise,"5.0000","26.5597","19.7670","6.7927","25.5700","05/01/2022"
578,MH Levuka,"61",Supermarket (Non-Food),"6106",Lighters,"2.0000","5.2294","2.7800","2.4494","46.8300","02/01/2022"
551,MH  Superfresh,"60",Beverages,"6008",Energy Drink,"4.0000","18.1651","14.5680","3.5971","19.8000","06/01/2022"
551,MH  Superfresh,"58",Food,"5815",Mayonnaise,"63.0000","354.9083","270.4830","84.4253","23.7800","01/01/2022"
521,Maxval-u Supermart - Hypermarket,"58",Food,"5850","6001","8.0000","25.2844","21.0440","4.2404","16.7700","03/01/2022"
